,Month,Hour,windSpeed,Water,Wind dir,Pressure,Temperature,RH
0,2.0,3.0,4.75,0.0933,45.0,976.35,34.56,39.7
1,2.0,4.0,3.8,0.0929,73.0,976.1500000000001,34.51,39.55
2,2.0,5.0,3.6,0.09215000000000001,108.0,976.45,34.05,37.9
3,2.0,6.0,2.3,0.09145,126.5,976.9,31.61,41.9
4,2.0,7.0,3.8,0.0904,136.0,977.75,30.47,44.5
5,2.0,8.0,2.0999999999999996,0.0896,136.0,978.75,30.22,43.849999999999994
6,2.0,9.0,2.1,0.08925,135.5,979.5999999999999,29.435000000000002,44.7
7,2.0,10.0,4.55,0.0896,131.0,980.0,29.245,44.35
8,2.0,11.0,4.0,0.08855,195.0,980.15,27.175,68.35
9,2.0,12.0,3.05,0.0882,202.5,979.8499999999999,26.55,76.9
10,2.0,1.0,2.3,0.0878,195.5,979.45,26.02,79.7
11,2.0,2.0,2.85,0.0874,183.0,979.3,25.56,81.9
12,2.0,3.0,1.7,0.08705,183.0,979.2,25.045,84.05
13,2.0,4.0,1.7,0.0867,183.0,979.25,24.35,86.1
14,2.0,5.0,2.45,0.0867,183.0,979.9000000000001,23.975,88.6
15,2.0,6.0,3.8,0.0867,183.0,980.6,23.845,89.6
16,2.0,7.0,0.95,0.08635,183.0,981.2,24.785,89.7
17,2.0,8.0,1.5,0.08635,183.0,981.7,26.27,88.1
18,2.0,9.0,3.05,0.0867,187.5,981.9,28.0,80.5
19,2.0,10.0,3.4,0.0878,192.0,981.55,31.15,70.65
20,2.0,11.0,5.55,0.08925,111.5,980.55,32.25,55.95
21,2.0,12.0,5.5,0.09145,34.5,979.25,34.575,45.25
22,2.0,1.0,8.75,0.0925,45.0,978.15,35.3,33.55
23,2.0,2.0,8.55,0.09365,45.0,977.05,36.35,24.9
24,2.0,3.0,11.05,0.09365,41.0,976.55,36.73,17.65
25,2.0,4.0,9.7,0.0925,56.5,976.45,35.625,15.25
26,2.0,5.0,7.05,0.0918,58.0,977.2,34.150000000000006,13.05
27,2.0,6.0,4.35,0.09075,41.5,978.0999999999999,31.794999999999998,14.9
28,2.0,7.0,3.8,0.09,43.0,978.95,30.785,15.4
29,2.0,8.0,2.3,0.0889,41.5,979.9000000000001,29.665,16.2
30,2.0,9.0,1.7,0.08855,54.5,980.45,28.755000000000003,16.9
31,2.0,10.0,0.6000000000000001,0.0874,81.0,980.7,27.65,18.4
32,2.0,11.0,2.1,0.08705,81.0,980.6,27.105,19.0
33,2.0,12.0,3.8,0.0867,81.0,980.25,25.244999999999997,22.1
34,2.0,1.0,3.8,0.08635,81.0,980.1,23.97,23.45
35,2.0,2.0,3.5999999999999996,0.08565,83.5,979.95,23.195,25.15
36,2.0,3.0,0.6000000000000001,0.0853,163.0,979.95,22.884999999999998,26.3
37,2.0,4.0,2.3,0.0845,160.5,979.8499999999999,21.66,35.650000000000006
38,2.0,5.0,3.8,0.0845,160.0,979.9000000000001,20.83,53.75
39,2.0,6.0,3.8,0.08415,160.0,980.45,21.115000000000002,61.4
40,2.0,7.0,1.5499999999999998,0.0838,132.5,981.0,24.509999999999998,44.45
41,2.0,8.0,3.95,0.0845,49.0,981.25,27.494999999999997,25.15
42,2.0,9.0,6.3,0.08524999999999999,56.0,981.3,29.68,19.549999999999997
43,2.0,10.0,7.6,0.08705,56.0,980.9,31.945,19.65
44,2.0,11.0,7.05,0.08855,92.0,979.95,34.14,18.15
45,2.0,12.0,7.8,0.09075,90.5,978.85,35.165,15.8
46,2.0,1.0,9.3,0.09215000000000001,83.5,977.9000000000001,35.54,15.05
47,2.0,2.0,6.5,0.0933,101.0,976.9000000000001,36.415,13.15
48,2.0,3.0,7.05,0.0933,74.5,976.45,35.825,11.3
49,2.0,4.0,5.9,0.09215000000000001,32.0,976.6,34.905,11.5
50,2.0,5.0,2.05,0.09145,28.0,977.05,32.995000000000005,12.55
51,2.0,6.0,2.3,0.09035,3.0,977.85,29.615000000000002,15.65
52,2.0,7.0,3.8,0.08925,3.0,978.85,27.814999999999998,17.9
