Month,Day,Hour,windSpeed,Pressure,Temperature,Hourly RH
2.0,16.0,3.0,4.75,976.35,34.56,39.7
2.0,16.0,4.0,3.8,976.1500000000001,34.51,39.55
2.0,16.0,5.0,3.6,976.45,34.05,37.9
2.0,16.0,6.0,2.3,976.9,31.61,41.9
2.0,16.0,7.0,3.8,977.75,30.47,44.5
2.0,16.0,8.0,2.0999999999999996,978.75,30.22,43.849999999999994
2.0,16.0,9.0,2.1,979.5999999999999,29.435000000000002,44.7
2.0,16.0,10.0,4.55,980.0,29.245,44.35
2.0,16.0,11.0,4.0,980.15,27.175,68.35
2.0,17.0,12.0,3.05,979.8499999999999,26.55,76.9
2.0,17.0,1.0,2.3,979.45,26.02,79.7
2.0,17.0,2.0,2.85,979.3,25.56,81.9
2.0,17.0,3.0,1.7,979.2,25.045,84.05
2.0,17.0,4.0,1.7,979.25,24.35,86.1
2.0,17.0,5.0,2.45,979.9000000000001,23.975,88.6
2.0,17.0,6.0,3.8,980.6,23.845,89.6
2.0,17.0,7.0,0.95,981.2,24.785,89.7
2.0,17.0,8.0,1.5,981.7,26.27,88.1
2.0,17.0,9.0,3.05,981.9,28.0,80.5
2.0,17.0,10.0,3.4,981.55,31.15,70.65
2.0,17.0,11.0,5.55,980.55,32.25,55.95
2.0,17.0,12.0,5.5,979.25,34.575,45.25
2.0,17.0,1.0,8.75,978.15,35.3,33.55
2.0,17.0,2.0,8.55,977.05,36.35,24.9
2.0,17.0,3.0,11.05,976.55,36.73,17.65
2.0,17.0,4.0,9.7,976.45,35.625,15.25
2.0,17.0,5.0,7.05,977.2,34.150000000000006,13.05
2.0,17.0,6.0,4.35,978.0999999999999,31.794999999999998,14.9
2.0,17.0,7.0,3.8,978.95,30.785,15.4
2.0,17.0,8.0,2.3,979.9000000000001,29.665,16.2
2.0,17.0,9.0,1.7,980.45,28.755000000000003,16.9
2.0,17.0,10.0,0.6000000000000001,980.7,27.65,18.4
2.0,17.0,11.0,2.1,980.6,27.105,19.0
2.0,18.0,12.0,3.8,980.25,25.244999999999997,22.1
2.0,18.0,1.0,3.8,980.1,23.97,23.45
2.0,18.0,2.0,3.5999999999999996,979.95,23.195,25.15
2.0,18.0,3.0,0.6000000000000001,979.95,22.884999999999998,26.3
2.0,18.0,4.0,2.3,979.8499999999999,21.66,35.650000000000006
2.0,18.0,5.0,3.8,979.9000000000001,20.83,53.75
2.0,18.0,6.0,3.8,980.45,21.115000000000002,61.4
2.0,18.0,7.0,1.5499999999999998,981.0,24.509999999999998,44.45
2.0,18.0,8.0,3.95,981.25,27.494999999999997,25.15
2.0,18.0,9.0,6.3,981.3,29.68,19.549999999999997
2.0,18.0,10.0,7.6,980.9,31.945,19.65
2.0,18.0,11.0,7.05,979.95,34.14,18.15
2.0,18.0,12.0,7.8,978.85,35.165,15.8
2.0,18.0,1.0,9.3,977.9000000000001,35.54,15.05
2.0,18.0,2.0,6.5,976.9000000000001,36.415,13.15
2.0,18.0,3.0,7.05,976.45,35.825,11.3
2.0,18.0,4.0,5.9,976.6,34.905,11.5
2.0,18.0,5.0,2.05,977.05,32.995000000000005,12.55
2.0,18.0,6.0,2.3,977.85,29.615000000000002,15.65
2.0,18.0,7.0,3.8,978.85,27.814999999999998,17.9
2.0,18.0,8.0,3.8,979.8,26.43,20.35
2.0,18.0,9.0,4.0,980.5,26.77,20.75
2.0,18.0,10.0,3.25,980.9,25.89,21.549999999999997
2.0,18.0,11.0,3.8,981.05,25.354999999999997,21.25
2.0,19.0,12.0,3.8,980.75,24.740000000000002,30.55
2.0,19.0,1.0,2.3,980.4,25.235,48.55
2.0,19.0,2.0,1.9000000000000001,980.55,23.855,41.0
2.0,19.0,3.0,2.3,980.75,23.45,50.25
2.0,19.0,4.0,2.3,981.2,22.68,63.95
2.0,19.0,5.0,2.1,981.3499999999999,22.405,56.599999999999994
2.0,19.0,6.0,3.8,981.9,22.54,72.35
2.0,19.0,7.0,2.65,982.4,23.564999999999998,81.0
2.0,19.0,8.0,2.7,982.75,25.94,79.5
2.0,19.0,9.0,3.05,982.45,29.225,73.35
2.0,19.0,10.0,4.0,981.85,31.46,55.55
2.0,19.0,11.0,5.55,980.9000000000001,32.885,40.3
2.0,19.0,12.0,5.9,979.75,34.97,29.450000000000003
2.0,19.0,1.0,5.300000000000001,978.45,35.209999999999994,23.25
2.0,19.0,2.0,4.4,977.5,34.955,23.25
2.0,19.0,3.0,5.35,976.9,34.455,19.55
2.0,19.0,4.0,3.8,976.6500000000001,33.535,17.35
2.0,19.0,5.0,0.95,976.8,31.729999999999997,16.1
2.0,19.0,6.0,2.1,977.4000000000001,30.155,17.75
2.0,19.0,7.0,2.3,978.25,29.18,18.65
2.0,19.0,8.0,3.8,979.25,28.16,19.75
2.0,19.0,9.0,3.8,979.9,27.384999999999998,21.3
2.0,19.0,10.0,1.5,980.25,26.84,21.450000000000003
2.0,19.0,11.0,2.7,980.1500000000001,26.905,23.15
2.0,20.0,12.0,2.25,979.9,25.84,26.0
2.0,20.0,1.0,2.45,979.65,24.075,31.450000000000003
2.0,20.0,2.0,0.6000000000000001,979.3,23.41,48.9
2.0,20.0,3.0,3.05,979.05,23.52,72.5
2.0,20.0,4.0,2.1,979.2,23.21,83.0
2.0,20.0,5.0,2.45,979.8,23.04,86.2
2.0,20.0,6.0,3.8,980.55,23.16,86.95
2.0,20.0,7.0,1.3,981.35,23.34,84.1
2.0,20.0,8.0,2.0999999999999996,981.9,26.185000000000002,82.9
2.0,20.0,9.0,4.6,982.05,28.259999999999998,76.9
2.0,20.0,10.0,5.1,981.75,30.37,66.4
2.0,20.0,11.0,5.9,980.8,32.47,55.099999999999994
2.0,20.0,12.0,5.3,979.75,33.795,40.3
2.0,20.0,1.0,4.9,978.45,34.545,34.400000000000006
2.0,20.0,2.0,5.9,977.3,35.730000000000004,29.4
2.0,20.0,3.0,4.15,976.7,35.33,27.0
2.0,20.0,4.0,2.65,976.5,34.519999999999996,29.049999999999997
2.0,20.0,5.0,1.7,976.55,33.46,31.3
2.0,20.0,6.0,2.3,977.2,31.585,36.95
2.0,20.0,7.0,0.6000000000000001,978.0999999999999,30.63,40.7
2.0,20.0,8.0,2.7,978.9000000000001,29.814999999999998,43.55
2.0,20.0,9.0,2.45,979.65,28.915,47.900000000000006
2.0,20.0,10.0,2.05,979.95,28.765,49.650000000000006
2.0,20.0,11.0,1.9,980.2,27.675,53.25
2.0,21.0,12.0,3.05,979.4000000000001,26.87,59.05
2.0,21.0,1.0,4.4,978.85,25.745,67.9
2.0,21.0,2.0,3.05,978.4,24.955,76.4
2.0,21.0,3.0,2.25,978.25,24.775,81.5
2.0,21.0,4.0,2.7,978.3499999999999,24.8,84.8
2.0,21.0,5.0,0.95,978.6,24.270000000000003,86.05
2.0,21.0,6.0,3.8,979.2,24.049999999999997,86.65
2.0,21.0,7.0,2.65,980.0,25.15,87.1
2.0,21.0,8.0,5.5,980.5,26.244999999999997,85.6
2.0,21.0,9.0,5.15,980.7,27.63,77.75
2.0,21.0,10.0,5.7,980.35,29.65,71.05000000000001
2.0,21.0,11.0,5.7,979.45,31.905,62.599999999999994
