Period,RH
2017-02-16 03:30:00,39.7
2017-02-16 04:30:00,39.55
2017-02-16 05:30:00,37.9
2017-02-16 06:30:00,41.9
2017-02-16 07:30:00,44.5
2017-02-16 08:30:00,43.85
2017-02-16 09:30:00,44.7
2017-02-16 10:30:00,44.35
2017-02-16 11:30:00,68.35
2017-02-17 12:30:00,76.9
2017-02-17 01:30:00,79.7
2017-02-17 02:30:00,81.9
2017-02-17 03:30:00,84.05
2017-02-17 04:30:00,86.1
2017-02-17 05:30:00,88.6
2017-02-17 06:30:00,89.6
2017-02-17 07:30:00,89.7
2017-02-17 08:30:00,88.1
2017-02-17 09:30:00,80.5
2017-02-17 10:30:00,70.65
2017-02-17 11:30:00,55.95
2017-02-17 12:30:00,45.25
2017-02-17 01:30:00,33.55
2017-02-17 02:30:00,24.9
2017-02-17 03:30:00,17.65
2017-02-17 04:30:00,15.25
2017-02-17 05:30:00,13.05
2017-02-17 06:30:00,14.9
2017-02-17 07:30:00,15.4
2017-02-17 08:30:00,16.2
2017-02-17 09:30:00,16.9
2017-02-17 10:30:00,18.4
2017-02-17 11:30:00,19.0
2017-02-18 12:30:00,22.1
2017-02-18 01:30:00,23.45
2017-02-18 02:30:00,25.15
2017-02-18 03:30:00,26.3
2017-02-18 04:30:00,35.65000000000001
2017-02-18 05:30:00,53.75
2017-02-18 06:30:00,61.4
2017-02-18 07:30:00,44.45
2017-02-18 08:30:00,25.15
2017-02-18 09:30:00,19.55
2017-02-18 10:30:00,19.65
2017-02-18 11:30:00,18.15
2017-02-18 12:30:00,15.8
2017-02-18 01:30:00,15.05
2017-02-18 02:30:00,13.15
2017-02-18 03:30:00,11.3
2017-02-18 04:30:00,11.5
2017-02-18 05:30:00,12.55
2017-02-18 06:30:00,15.65
2017-02-18 07:30:00,17.9
2017-02-18 08:30:00,20.35
2017-02-18 09:30:00,20.75
2017-02-18 10:30:00,21.55
2017-02-18 11:30:00,21.25
2017-02-19 12:30:00,30.55
2017-02-19 01:30:00,48.55
2017-02-19 02:30:00,41.0
2017-02-19 03:30:00,50.25
2017-02-19 04:30:00,63.95
2017-02-19 05:30:00,56.6
